class full name,class short name,reference decomposition,duplicate,notes
com.coveros.training.helpers.AssertionException,AssertionException,authentication,TRUE,
com.coveros.training.helpers.CheckUtils,CheckUtils,authentication,TRUE,
com.coveros.training.persistence.EmptyDataSource,EmptyDataSource,authentication,TRUE,
com.coveros.training.persistence.IPersistenceLayer,IPersistenceLayer,authentication,TRUE,
com.coveros.training.persistence.NotImplementedException,NotImplementedException,authentication,TRUE,
com.coveros.training.persistence.ParameterObject,ParameterObject,authentication,TRUE,
com.coveros.training.persistence.PersistenceLayer,PersistenceLayer,authentication,TRUE,
com.coveros.training.helpers.ServletUtils,ServletUtils,authentication,TRUE,
com.coveros.training.persistence.SqlData,SqlData,authentication,TRUE,
com.coveros.training.persistence.SqlRuntimeException,SqlRuntimeException,authentication,TRUE,
com.coveros.training.helpers.StringUtils,StringUtils,authentication,TRUE,
com.coveros.training.tomcat.WebAppListener,WebAppListener,authentication,TRUE,
com.coveros.training.persistence.EmptyDataSource,EmptyDataSource,library,TRUE,
com.coveros.training.persistence.IPersistenceLayer,IPersistenceLayer,library,TRUE,
com.coveros.training.persistence.NotImplementedException,NotImplementedException,library,TRUE,
com.coveros.training.persistence.ParameterObject,ParameterObject,library,TRUE,
com.coveros.training.persistence.PersistenceLayer,PersistenceLayer,library,TRUE,
com.coveros.training.helpers.ServletUtils,ServletUtils,library,TRUE,
com.coveros.training.persistence.SqlData,SqlData,library,TRUE,
com.coveros.training.persistence.SqlRuntimeException,SqlRuntimeException,library,TRUE,
com.coveros.training.helpers.StringUtils,StringUtils,library,TRUE,
com.coveros.training.tomcat.WebAppListener,WebAppListener,library,TRUE,
com.coveros.training.helpers.ServletUtils,ServletUtils,mathematics,TRUE,
com.coveros.training.helpers.AssertionException,AssertionException,persistence,TRUE,
com.coveros.training.helpers.CheckUtils,CheckUtils,persistence,TRUE,
com.coveros.training.persistence.EmptyDataSource,EmptyDataSource,persistence,TRUE,
com.coveros.training.persistence.IPersistenceLayer,IPersistenceLayer,persistence,TRUE,
com.coveros.training.persistence.NotImplementedException,NotImplementedException,persistence,TRUE,
com.coveros.training.persistence.ParameterObject,ParameterObject,persistence,TRUE,
com.coveros.training.persistence.PersistenceLayer,PersistenceLayer,persistence,TRUE,
com.coveros.training.helpers.ServletUtils,ServletUtils,persistence,TRUE,
com.coveros.training.persistence.SqlData,SqlData,persistence,TRUE,
com.coveros.training.persistence.SqlRuntimeException,SqlRuntimeException,persistence,TRUE,
com.coveros.training.helpers.StringUtils,StringUtils,persistence,TRUE,
com.coveros.training.tomcat.WebAppListener,WebAppListener,persistence,TRUE,
com.coveros.training.authentication.LoginServlet,LoginServlet,authentication,,
com.coveros.training.authentication.LoginUtils,LoginUtils,authentication,,
com.coveros.training.authentication.domainobjects.PasswordResult,PasswordResult,authentication,,
com.coveros.training.authentication.domainobjects.PasswordResultEnums,PasswordResultEnums,authentication,,
com.coveros.training.authentication.RegisterServlet,RegisterServlet,authentication,,
com.coveros.training.authentication.domainobjects.RegistrationResult,RegistrationResult,authentication,,
com.coveros.training.authentication.domainobjects.RegistrationStatusEnums,RegistrationStatusEnums,authentication,,
com.coveros.training.authentication.RegistrationUtils,RegistrationUtils,authentication,,
com.coveros.training.authentication.domainobjects.User,User,authentication,,
com.coveros.training.library.domainobjects.Book,Book,library,,
com.coveros.training.library.domainobjects.Borrower,Borrower,library,,
com.coveros.training.library.domainobjects.LibraryActionResults,LibraryActionResults,library,,
com.coveros.training.library.LibraryBookListAvailableServlet,LibraryBookListAvailableServlet,library,,
com.coveros.training.library.LibraryBookListSearchServlet,LibraryBookListSearchServlet,library,,
com.coveros.training.library.LibraryBorrowerListSearchServlet,LibraryBorrowerListSearchServlet,library,,
com.coveros.training.library.LibraryLendServlet,LibraryLendServlet,library,,
com.coveros.training.library.LibraryRegisterBookServlet,LibraryRegisterBookServlet,library,,
com.coveros.training.library.LibraryRegisterBorrowerServlet,LibraryRegisterBorrowerServlet,library,,
com.coveros.training.library.LibraryUtils,LibraryUtils,library,,
com.coveros.training.library.domainobjects.Loan,Loan,library,,
com.coveros.training.mathematics.Ackermann,Ackermann,mathematics,,
com.coveros.training.mathematics.AckermannIterative,AckermannIterative,mathematics,,
com.coveros.training.mathematics.AckServlet,AckServlet,mathematics,,
com.coveros.training.expenses.AlcoholCalculator,AlcoholCalculator,mathematics,,
com.coveros.training.expenses.AlcoholResult,AlcoholResult,mathematics,,
com.coveros.training.mathematics.Calculator,Calculator,mathematics,,
com.coveros.training.cartesianproduct.CartesianProduct,CartesianProduct,mathematics,,
com.coveros.training.expenses.DinnerPrices,DinnerPrices,mathematics,,
com.coveros.training.mathematics.Fibonacci,Fibonacci,mathematics,,
com.coveros.training.mathematics.FibonacciIterative,FibonacciIterative,mathematics,,
com.coveros.training.mathematics.FibServlet,FibServlet,mathematics,,
com.coveros.training.mathematics.FunctionalField,FunctionalField,mathematics,,
com.coveros.training.mathematics.MathServlet,MathServlet,mathematics,,
com.coveros.training.mathematics.TailRecursive,TailRecursive,mathematics,,
com.coveros.training.persistence.DbServlet,DbServlet,persistence,,
